major,major_category,total,men,women,sharewomen,employed,unemployed,unemployment_rate,college_jobs,noncollege_jobs,rate_noncollege_jobs,rate_college_jobs,sharemen
PHYSIOLOGY,"Biology & Life Science",22060,8422,13638,0.6182,14643,1088,0.0692,6587,6894,0.3125,0.2986,0.3818
CRIMINOLOGY,"Social Science",19879,10031,9848,0.4954,16181,1743,0.0972,3373,10605,0.5335,0.1697,0.5046
"NUTRITION SCIENCES",Health,18909,2563,16346,0.8645,13217,975,0.0687,6535,5473,0.2894,0.3456,0.1355
"HEALTH AND MEDICAL ADMINISTRATIVE SERVICES",Health,18109,4266,13843,0.7644,15419,1518,0.0896,2589,8592,0.4745,0.1430,0.2356
"COMMUNICATION TECHNOLOGIES","Computers & Mathematics",18035,11431,6604,0.3662,14779,2006,0.1195,4545,8794,0.4876,0.2520,0.6338
"TRANSPORTATION SCIENCES AND TECHNOLOGIES","Industrial Arts & Consumer Services",15150,13257,1893,0.1250,12266,962,0.0727,4575,6147,0.4057,0.3020,0.8750
"NATURAL RESOURCES MANAGEMENT","Agriculture & Natural Resources",13773,8617,5156,0.3744,11797,842,0.0666,4333,5808,0.4217,0.3146,0.6256
NEUROSCIENCE,"Biology & Life Science",13663,4944,8719,0.6381,9087,463,0.0485,5605,2301,0.1684,0.4102,0.3619
"MULTI/INTERDISCIPLINARY STUDIES",Interdisciplinary,12296,2817,9479,0.7709,9821,749,0.0709,5176,3903,0.3174,0.4209,0.2291
"ATMOSPHERIC SCIENCES AND METEOROLOGY","Physical Sciences",4043,2744,1299,0.3213,3431,78,0.0222,1808,1317,0.3257,0.4472,0.6787
FORESTRY,"Agriculture & Natural Resources",3607,3156,451,0.1250,3007,322,0.0967,1096,1692,0.4691,0.3039,0.8750
"SOIL SCIENCE","Agriculture & Natural Resources",685,476,209,0.3051,613,0,0.0000,355,144,0.2102,0.5182,0.6949
"GENERAL EDUCATION",Education,143718,26893,116825,0.8129,118241,7195,0.0574,82007,31112,0.2165,0.5706,0.1871
HISTORY,"Humanities & Liberal Arts",141951,78253,63698,0.4487,105646,11176,0.0957,35336,54569,0.3844,0.2489,0.5513
"FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES","Humanities & Liberal Arts",48246,12835,35411,0.7340,38315,3132,0.0756,15051,18193,0.3771,0.3120,0.2660
"INTERCULTURAL AND INTERNATIONAL STUDIES","Humanities & Liberal Arts",24650,8575,16075,0.6521,18824,1718,0.0836,4956,10343,0.4196,0.2011,0.3479
"SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION",Education,20198,9950,10248,0.5074,17700,1012,0.0541,10928,5561,0.2753,0.5410,0.4926
"COMMUNITY AND PUBLIC HEALTH",Health,19735,4103,15632,0.7921,14512,1833,0.1121,5225,7385,0.3742,0.2648,0.2079
"MATHEMATICS TEACHER EDUCATION",Education,14237,3872,10365,0.7280,13115,216,0.0162,10699,1977,0.1389,0.7515,0.2720
"EDUCATIONAL ADMINISTRATION AND SUPERVISION",Education,804,280,524,0.6517,703,0,0.0000,346,206,0.2562,0.4303,0.3483
"HEALTH AND MEDICAL PREPARATORY PROGRAMS",Health,12740,5521,7219,0.5666,7052,529,0.0698,3051,3539,0.2778,0.2395,0.4334
"MISCELLANEOUS BIOLOGY","Biology & Life Science",10706,4747,5959,0.5566,7767,483,0.0585,4253,2722,0.2542,0.3973,0.4434
BIOLOGY,"Biology & Life Science",280709,111762,168947,0.6019,182295,13874,0.0707,88232,81109,0.2889,0.3143,0.3981
SOCIOLOGY,"Social Science",115433,32510,82923,0.7184,92721,8608,0.0850,29051,48899,0.4236,0.2517,0.2816
"MASS MEDIA","Communications & Journalism",52824,24704,28120,0.5323,44679,4410,0.0898,12855,25297,0.4789,0.2434,0.4677
"TREATMENT THERAPY PROFESSIONS",Health,48491,13487,35004,0.7219,37861,2409,0.0598,22215,14616,0.3014,0.4581,0.2781
"HOSPITALITY MANAGEMENT",Business,43647,15204,28443,0.6517,36728,2393,0.0612,2325,23341,0.5348,0.0533,0.3483
"LANGUAGE AND DRAMA EDUCATION",Education,30471,3741,26730,0.8772,26033,1379,0.0503,17985,6824,0.2240,0.5902,0.1228
"LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE","Humanities & Liberal Arts",16601,4416,12185,0.7340,11165,1302,0.1044,4122,5695,0.3431,0.2483,0.2660
"MISCELLANEOUS EDUCATION",Education,10150,3654,6496,0.6400,8691,547,0.0592,5284,2438,0.2402,0.5206,0.3600
"INTERDISCIPLINARY SOCIAL SCIENCES","Social Science",9916,2337,7579,0.7643,7444,757,0.0923,2630,3906,0.3939,0.2652,0.2357
ECOLOGY,"Biology & Life Science",9154,3878,5276,0.5764,7585,437,0.0545,2856,4159,0.4543,0.3120,0.4236
"SECONDARY TEACHER EDUCATION",Education,17125,6820,10305,0.6018,15116,833,0.0522,10304,3967,0.2316,0.6017,0.3982
"GENERAL MEDICAL AND HEALTH SERVICES",Health,33599,7574,26025,0.7746,24406,2183,0.0821,9364,12889,0.3836,0.2787,0.2254
"PHILOSOPHY AND RELIGIOUS STUDIES","Humanities & Liberal Arts",54814,31967,22847,0.4168,40157,4267,0.0961,14444,20313,0.3706,0.2635,0.5832
"ART AND MUSIC EDUCATION",Education,34181,10732,23449,0.6860,30007,1206,0.0386,20821,8260,0.2417,0.6091,0.3140
"ENGLISH LANGUAGE AND LITERATURE","Humanities & Liberal Arts",194673,58227,136446,0.7009,149180,14345,0.0877,57690,71827,0.3690,0.2963,0.2991
"ELEMENTARY EDUCATION",Education,170862,13029,157833,0.9237,149339,7297,0.0466,108085,36972,0.2164,0.6326,0.0763
"PHYSICAL FITNESS PARKS RECREATION AND LEISURE","Industrial Arts & Consumer Services",125074,62181,62893,0.5028,103078,5593,0.0515,27581,63946,0.5113,0.2205,0.4972
"LIBERAL ARTS","Humanities & Liberal Arts",71369,22339,49030,0.6870,54844,4657,0.0783,18565,28558,0.4001,0.2601,0.3130
"FILM VIDEO AND PHOTOGRAPHIC ARTS",Arts,38761,22357,16404,0.4232,31433,3718,0.1058,7368,20721,0.5346,0.1901,0.5768
"GENERAL SOCIAL SCIENCES","Social Science",12920,5079,7841,0.6069,9602,1108,0.1035,3602,4778,0.3698,0.2788,0.3931
"PLANT SCIENCE AND AGRONOMY","Agriculture & Natural Resources",7416,4897,2519,0.3397,6594,314,0.0455,2089,3545,0.4780,0.2817,0.6603
"SCIENCE AND COMPUTER TEACHER EDUCATION",Education,6483,2049,4434,0.6839,5362,266,0.0473,4214,1106,0.1706,0.6500,0.3161
PSYCHOLOGY,"Psychology & Social Work",393735,86648,307087,0.7799,307933,28169,0.0838,125148,141860,0.3603,0.3178,0.2201
MUSIC,Arts,60633,29909,30724,0.5067,47662,3918,0.0760,13752,28786,0.4748,0.2268,0.4933
"PHYSICAL AND HEALTH EDUCATION TEACHING",Education,28213,15670,12543,0.4446,23794,1920,0.0747,12777,9328,0.3306,0.4529,0.5554
"ART HISTORY AND CRITICISM","Humanities & Liberal Arts",21030,3240,17790,0.8459,17579,1128,0.0603,5139,9738,0.4631,0.2444,0.1541
"FINE ARTS",Arts,74440,24786,49654,0.6670,59679,5486,0.0842,20792,32725,0.4396,0.2793,0.3330
"FAMILY AND CONSUMER SCIENCES","Industrial Arts & Consumer Services",58001,5166,52835,0.9109,46624,3355,0.0671,20985,20133,0.3471,0.3618,0.0891
"SOCIAL WORK","Psychology & Social Work",53552,5137,48415,0.9041,45038,3329,0.0688,27449,14416,0.2692,0.5126,0.0959
"ANIMAL SCIENCES","Agriculture & Natural Resources",21573,5347,16226,0.7521,17112,917,0.0509,5443,9571,0.4437,0.2523,0.2479
"VISUAL AND PERFORMING ARTS",Arts,16250,4133,12117,0.7457,12870,1465,0.1022,3849,7635,0.4698,0.2369,0.2543
"TEACHER EDUCATION: MULTIPLE LEVELS",Education,14443,2734,11709,0.8107,13076,496,0.0365,10766,1949,0.1349,0.7454,0.1893
"MISCELLANEOUS PSYCHOLOGY","Psychology & Social Work",9628,1936,7692,0.7989,7653,419,0.0519,2960,3948,0.4101,0.3074,0.2011
"HUMAN SERVICES AND COMMUNITY ORGANIZATION","Psychology & Social Work",9374,885,8489,0.9056,8294,326,0.0378,2878,4595,0.4902,0.3070,0.0944
HUMANITIES,"Humanities & Liberal Arts",6652,2013,4639,0.6974,5052,372,0.0686,1168,3354,0.5042,0.1756,0.3026
"THEOLOGY AND RELIGIOUS VOCATIONS","Humanities & Liberal Arts",30207,18616,11591,0.3837,24202,1617,0.0626,9927,12037,0.3985,0.3286,0.6163
"STUDIO ARTS",Arts,16977,4754,12223,0.7200,13908,1368,0.0896,3948,8707,0.5129,0.2325,0.2800
"COSMETOLOGY SERVICES AND CULINARY ARTS","Industrial Arts & Consumer Services",10510,4364,6146,0.5848,8650,510,0.0557,563,7384,0.7026,0.0536,0.4152
"MISCELLANEOUS AGRICULTURE","Agriculture & Natural Resources",1488,404,1084,0.7285,1290,82,0.0598,483,626,0.4207,0.3246,0.2715
"ANTHROPOLOGY AND ARCHEOLOGY","Humanities & Liberal Arts",38844,11376,27468,0.7071,29633,3395,0.1028,9805,16693,0.4297,0.2524,0.2929
"COMMUNICATION DISORDERS SCIENCES AND SERVICES",Health,38279,1225,37054,0.9680,29763,1487,0.0476,19957,9404,0.2457,0.5214,0.0320
"EARLY CHILDHOOD EDUCATION",Education,37589,1167,36422,0.9690,32551,1360,0.0401,23515,7705,0.2050,0.6256,0.0310
"OTHER FOREIGN LANGUAGES","Humanities & Liberal Arts",11204,3472,7732,0.6901,7052,846,0.1071,2326,3703,0.3305,0.2076,0.3099
"DRAMA AND THEATER ARTS",Arts,43249,14440,28809,0.6661,36165,3040,0.0775,6994,25313,0.5853,0.1617,0.3339
"COMPOSITION AND RHETORIC","Humanities & Liberal Arts",18953,7022,11931,0.6295,15053,1340,0.0817,4855,8100,0.4274,0.2562,0.3705
ZOOLOGY,"Biology & Life Science",8409,3050,5359,0.6373,6259,304,0.0463,2771,2947,0.3505,0.3295,0.3627
"EDUCATIONAL PSYCHOLOGY","Psychology & Social Work",2854,522,2332,0.8171,2125,148,0.0651,1488,615,0.2155,0.5214,0.1829
"CLINICAL PSYCHOLOGY","Psychology & Social Work",2838,568,2270,0.7999,2101,368,0.1490,986,870,0.3066,0.3474,0.2001
"COUNSELING PSYCHOLOGY","Psychology & Social Work",4626,931,3695,0.7987,3777,214,0.0536,2403,1245,0.2691,0.5195,0.2013
"LIBRARY SCIENCE",Education,1098,134,964,0.8780,742,87,0.1049,288,338,0.3078,0.2623,0.1220
